AST Structure,Fitness Score,Total PnL,Avg Trade,Avg Win,Avg Loss,Largest Win,Largest Loss,Std Win,Std Loss,Max DD,PnL/DD,Max Cons Loss,Sharpe,Sortino,Profit Factor,CPC Index,Corr Coef,Exposure (%),Complexity,Direction,Stop Type,Take Profit,MAP-X,MAP-Y,Fitness Function,In-Sample Pct
"((((High - Close) / Close) > LinRegSlope((Low - High), 7) AND ((Close - Open) / (High - Low)) > (High / (Open + Close))) AND (High / Low) > LinRegSlope(Open, 7))",59.9259,24724.38,3.0524,6.7469,2.4723,204.7724,-39.2875,9.8039,2.8162,113.8215,217.2206,14,0.3388,1.2867,4.0809,6.6739,0.9895,11.6,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"Close > (Open + StdDev(Close, 14))",63.7042,26639.08,3.7520,7.3159,2.5032,204.7724,-39.2875,11.1480,2.8661,72.0370,369.7973,11,0.3671,1.6366,5.1297,9.5506,0.9843,10.1,1,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(Close > (Open + StdDev(Close, 14)) AND ((EMA(Close, 50) - EMA(Close, 100)) + High) > Open)",64.6454,23133.09,3.8964,7.3200,2.3635,204.7724,-39.2875,11.4434,2.7941,56.2096,411.5507,10,0.3735,1.7906,5.6630,11.3379,0.9827,8.5,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND LinRegSlope((Open + High), 7) < ((High * 0.6) / Low)) AND (Close + (EMA(Close, 14) - EMA(Close, 28))) < Open)",39.9028,5200.95,0.5742,7.0510,3.7261,128.7629,-65.9082,9.9690,4.4924,1016.7715,5.1152,38,0.0643,0.1269,1.2564,0.9487,0.9442,12.9,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((1 < (EMA(Low, 14) / Low) AND Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100))))) AND LinRegSlope((Open + Open), 100) > LinRegSlope(High, 200))",43.9249,10403.87,1.2285,6.9281,3.2362,204.7724,-64.2310,10.8573,3.4543,323.4036,32.1699,34,0.1341,0.3466,1.6770,1.5769,0.9594,12.1,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((High > Open AND 0 < (((Low - Min(Low, 7)) / (Max(Low, 7) - Min(Low, 7))) + (Close - High))) AND (EMA((Close + Low), 14) - EMA((Close + Low), 28)) < (((High + Low) - Min((High + Low), 100)) / (Max((High + Low), 100) - Min((High + Low), 100))))",47.5322,11049.97,1.2595,5.3799,2.4732,59.2937,-59.7082,6.7692,2.4900,199.8150,55.3010,28,0.1981,0.4955,1.9706,2.0375,0.9897,12.5,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND (High / Close[-7]) > (Open / High)) AND ((Open - Close) / (EMA(Open, 7) - EMA(Open, 14))) > 1)",51.9057,21284.49,2.4361,7.6029,3.1401,204.7724,-51.8723,11.0493,3.5712,171.2733,124.2721,20,0.2457,0.7387,2.6131,3.2841,0.9797,12.5,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((Close - Open) / (High - Low)) > (High / (Open + Close)) AND LinRegSlope(Open, 50) < LinRegSlope(Low, 100))",55.9208,25696.48,2.9230,7.5377,2.9313,204.7724,-40.7835,10.6990,3.2498,171.3074,150.0021,17,0.2988,1.0060,3.2623,4.6911,0.9843,12.6,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((((Close - Open) / (High - Low)) > (High / (Open + Close)) AND 1 > LinRegSlope((High * 0.5), 21)) AND Open crosses below (Close - StdDev(Close, 7)))",59.8582,27552.23,3.1510,7.0773,2.7037,189.3952,-40.7835,9.6243,2.9744,125.5503,219.4517,12,0.3480,1.2373,3.9032,6.1157,0.9892,12.5,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((High - Close) / Close) > LinRegSlope((Low - High), 7) AND ((Close - Open) / (High - Low)) > (High / (Open + Close)))",60.3182,31081.54,3.3865,7.3514,2.6402,204.7724,-39.2875,10.6439,2.9910,113.8215,273.0726,14,0.3460,1.3475,4.2323,7.1081,0.9885,13.1,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
